idr,beam_rotation
0.0005953863258450629,0.0005725856754000001
0.0008835214318564915,0.000888301263331
0.0011711258170450628,0.001245343388291
0.001467572045710777,0.00163683632854
0.0017720034341307772,0.002040751685855
0.002093056402633634,0.0024452939396720002
0.00241223235700792,0.0028379223658699998
0.0027383634283707774,0.003223861916923
0.003062417650399349,0.003589155792722
0.0033772980789707773,0.00395828881301
0.0036957603741422057,0.00432257575448
0.004025033727885063,0.00466985220555
0.004362700958942206,0.0050267202314
0.004720677408313634,0.00539521011524
0.00509237569842792,0.00571086141281
0.005464936659342205,0.006008255993949999
0.0058490731615707765,0.006314449245110001
0.006236941340313634,0.00658325734549
0.006632312253713635,0.00685219001025
0.007029507494999349,0.007179073407309999
0.007434853139256492,0.00751881487668
0.007850720067713635,0.00783805781975
0.00827170554502792,0.00814363267273
0.008707506501856492,0.008456321666019999
0.009169508489713634,0.00878469622694
0.009654725422342206,0.00915330485441
0.010146615946456492,0.00953251472674
0.010645149195370778,0.00988313066773
0.011135198361713634,0.01020408398472
0.01160955234782792,0.01053319335915
0.012073916169742207,0.01090223737992
0.01254251937202792,0.01133090746589
0.013014440211399348,0.01176727679558
0.013468878795599349,0.01220168801956
0.013905941561456492,0.012645024806290001
0.014322149087885063,0.01311858673577
0.014694223632313635,0.01367999427019
0.015121984880485063,0.015105638420200001
0.015520073659256492,0.01638044579883
0.015879452414342205,0.01691442355513
0.016272051179570778,0.01773500000122
0.016714662499256492,0.01835136464794
0.017167971788313634,0.01902313833129
0.01761718857985649,0.019602842163329998
0.018062625798342204,0.02015635883431
0.01849163235782792,0.02070363610987
0.01890874991945649,0.02120992820714
0.019325833421256492,0.021664527710490003
0.019744468772570776,0.02211108151827
0.020161296825913635,0.022538589779320002
0.020578116364313635,0.022958340588909998
0.020996679338570776,0.02337860735133
0.021417011293513637,0.02380578499286
0.021838352269970777,0.02423990052188
0.022263048136399347,0.02467314759274
0.02292140485405649,0.0251027299091
0.02360504245605649,0.025434586685140002
0.02419450046182792,0.02569632465021
0.024591424821285065,0.0260188975371
0.024979121104485063,0.026487907860440002
0.025364982416113634,0.02696039108559
0.025741903031056494,0.027432546485219998
0.026024407759913635,0.02791484398769
0.026552072778942205,0.02836060058325
0.027376747742885062,0.028838258702290002
0.027942110570999348,0.02908847806978
0.028616002813685062,0.02935726661239
0.029037773794827918,0.02960192086171
0.029428976108542206,0.029979879036569998
0.029818641473685063,0.03045010752973
0.030204698629113635,0.030925595201520002
0.03059527722282792,0.03140533482655
0.030986760529685065,0.03193049272523
0.03137938483968506,0.03245675424114
0.031772726534256494,0.03298246720804
0.032166932496256496,0.033509223256260004
0.03256206445882792,0.03403585078193
0.03295863970539935,0.03456106362862
0.03335408672111363,0.03508554352445
0.033747769013685064,0.0356115265749
0.03414185150882792,0.03614211035894
0.03453774555939935,0.03668034821744
0.0349304997225422,0.03722934331743
0.035333674054542206,0.037796796299530006
0.03576268061425649,0.038353214040420004
0.03621045199311363,0.03885354101662
0.03659876348139935,0.03928701160478
0.03711222343625649,0.0394636704586
0.03757040434082792,0.039917972404520004
0.03804745863025649,0.040396356955120005
0.038467909794256495,0.040870267897799996
0.03896009089111364,0.04150270530957
0.03935910992797077,0.04184850677852
0.03975391832254221,0.042352338321519994
0.040148245622542204,0.04285876080394
0.040542479257970776,0.043364605400680004
0.040906510368542204,0.04387031402442
0.041287447910827925,0.04439443117008
0.04168656061225649,0.04491761885587
0.04208712936997078,0.045425732154399996
0.042487940803685065,0.04593094158922
0.04288904174597078,0.04643579153343
0.04329323787197077,0.04694096092135
0.04369739993825649,0.04744293820116
0.0441014811125422,0.04794610338281
0.04450549842482792,0.048451061360549996
0.04490933692311363,0.04895880632106
0.045313017894827924,0.0494689065963
0.04571724808054221,0.04998324718325
0.04612296838254221,0.05050053820018
0.04652867165482792,0.05101678660142
0.046934430273970776,0.05153449252245999
0.04734064018568506,0.05205463711173
0.04774822526168506,0.05257880967112
0.04815596360654221,0.05311223864557
0.048597978879970784,0.0536546604708
0.04899764079539935,0.05427819024772
0.04976202353254221,0.05484935548153
0.05014099412139934,0.057528808713
