ID	Name	LossMedian	DowntimeMedian	RedTagProbability	LossP10	LossP90	DowntimeP16	DowntimeP84	HurtMedian	HurtP16	HurtP84	DeathMedian	DeathP16	DeathP84
56	bld-56	682.917	0	0	0	6708.55	0	0	0	0	0	0	0	0	
57	bld-57	3042.78	0.404367	0	456.437	7549.45	0	8.45986	0	0	0	0	0	0	
58	bld-58	109481	47.5733	0	78560.3	151576	25.6735	88.4496	3.125e-05	1.5625e-05	6.25e-05	0	0	0	
59	bld-59	108923	46.1052	0	76343.5	150228	26.2134	84.7958	3.125e-05	1.5625e-05	6.25e-05	0	0	0	
60	bld-60	156.436	0	0	0	3792.84	0	0	0	0	0	0	0	0	
61	bld-61	55199.2	20.506	0	35299.7	79095.6	10.959	43.4221	1.25e-05	6.25e-06	3.125e-05	0	0	0	
62	bld-62	57778.5	20.5164	0	36129.3	81074.8	11.0442	42.488	1.25e-05	6.25e-06	3.125e-05	0	0	0	
63	bld-63	1.16453e+06	179	0.472	860925	1.60024e+06	146.156	179	0.00714286	0.00714286	0.00714286	0.00125	0.00125	0.00125	
64	bld-64	80069.5	16.5798	0	52535.5	111571	8.79618	38.5065	6.25e-06	6.25e-06	1.25e-05	0	0	0	
65	bld-65	515104	179	0.594	381590	731014	174.288	179	0.0119048	0.0119048	0.0119256	0.00208333	0.00208333	0.00208333	
66	bld-66	644989	179	0.593	465117	892408	172.632	179	0.0119256	0.0119048	0.0119256	0.00208333	0.00208333	0.00208333	
67	bld-67	1.01392e+06	179	0.583	763364	1.41459e+06	171.798	179	0.0119256	0.0119048	0.0119256	0.00208333	0.00208333	0.00208333	
68	bld-68	1.07904e+06	168.386	0.588	778888	1.53886e+06	128.684	179	0.00477024	0.0047619	0.00477024	0.000833333	0.000833333	0.000833333	
69	bld-69	20726	13.7933	0	4760.28	43974.1	5.55184	104.173	0	0	1.04167e-05	0	0	0	
70	bld-70	1.77006e+06	179	0.498	1.33152e+06	2.31861e+06	179	179	0.0178571	0.0178571	0.0178571	0.003125	0.003125	0.003125	
71	bld-71	2.01289e+06	179	0.493	1.54736e+06	2.74968e+06	179	179	0.0178571	0.0178571	0.0178571	0.003125	0.003125	0.003125	
72	bld-72	742357	179	0.489	566383	1.00984e+06	179	179	0.0178571	0.00908482	0.0178571	0.003125	0.00157812	0.003125	
73	bld-73	748953	179	0.465	556394	978585	179	179	0.0178571	0.00908482	0.0178571	0.003125	0.00157812	0.003125	
74	bld-74	458003	179	0.592	336815	641642	175.763	179	0.0119048	0.0119048	0.0119256	0.00208333	0.00208333	0.00208333	
75	bld-75	456555	179	0.595	327922	630967	177.701	179	0.0119048	0.0119048	0.0119256	0.00208333	0.00208333	0.00208333	
76	bld-76	115106	14.4197	0	78368.3	155056	7.37042	36.6661	6.25e-06	0	1.25e-05	0	0	0	
77	bld-77	35623.2	4.61724	0	14025.9	66468.1	1.09867	134.464	0	0	0	0	0	0	
78	bld-78	12755.1	12.4498	0	4341.68	32857.7	4.80815	33.8836	0	0	3.125e-06	0	0	0	
79	bld-79	14876	9.92834	0	4283.47	36710.2	2.56886	33.0622	0	0	6.25e-06	0	0	0	
80	bld-80	864.503	0	0	0	7644.15	0	4.42669	0	0	0	0	0	0	
81	bld-81	144842	17.1332	0	107649	187536	6.95894	179	3.125e-05	1.25e-05	6.875e-05	0	0	6.25e-06	
82	bld-82	1782.82	0	0	0	10360.3	0	8.33942	0	0	0	0	0	0	
83	bld-83	16576.1	14.0858	0	5310	38023.4	6.00539	36.6548	0	0	4.16667e-06	0	0	0	
84	bld-84	18815	11.0103	0	6737.62	35693.8	3.57477	24.6457	0	0	1.25e-05	0	0	0	
85	bld-85	15505.6	16.3085	0	5428.9	33573.5	7.5769	38.4516	0	0	4.16667e-06	0	0	0	
86	bld-86	178562	74.8329	0.247	121561	270911	54.6635	109.134	0.00357143	0.00357143	0.00357143	0.000625	0.000625	0.000625	
87	bld-87	825865	166.679	0.556	578854	1.15128e+06	126.29	179	0.00477024	0.0047619	0.00477024	0.000833333	0.000833333	0.000833333	
88	bld-88	103129	28.4548	0.002	68203.9	153069	19.3842	40.9263	0.0142857	0.0142857	0.0142857	0.0025	0.0025	0.0025	
