ID	Name	QuantityMedian	LossMedian	DowntimeMedian	QuantityMean	LossMean	DowntimeMean
	BI.L.01.02	98.397	0	0	99.7015	348.45	0.121937
	BI.P.01.03	5.59302	0	0	5.63793	7.769	0.00065
	C.F.KL	0	0	0	0	0	0
	C.F.KZ	0	0	0	0	0	0
	C.S.Q	0	0	0	0	0	0
	E2022.001u	0	0	0	0	0	0
	E2022.020z	72.4553	312.376	0	80.3279	386.574	0
	E2022.022z	123.89	2337.97	0	137.472	3024.24	0
	MEP.L.01.01	0.153133	374.324	0.445785	0.235428	1600.82	1.90644
	MEP.M.06.06	0.65543	0	0	0.664153	0.456863	0.0044484
	MEP.M.06.08	0.32783	0	0	0.337896	0	0
	MEP.M.07.03	10.4083	0	0	10.5463	258.046	0.0828092
	MEP.M.08.01	1.30477	0	0	1.32218	0	0
	MEP.P.01.02	0.130095	0	0	0.131526	0	0
	MEP.P.02.06	0.795101	0	0	0.819103	0	0
	MEP.P.03.02	0.530176	0	0	0.540028	0	0
	MEP.P.06.01	0.656726	0	0	0.661651	61.4696	0.0288006
5	bld-05
	B1035.001	0	0	0	0	0	0
	B1052.011z	0	0	0	0	0	0
	B1052.011zu	0	0	0	0	0	0
	B1071.001	0	0	0	0	0	0
	B2011.011az	21.7428	0	0	25.6322	2.64472	0.0138027
	B3011.011z	31.2989	0	0	31.2989	121.906	0.375949
	BI.C.01.04	43.4353	0	0	43.4353	9.9	0.0138
	BI.D.02.03	0.742125	0	0	0.886789	277.607	0.462679
	BI.L.01.02	193.464	0	0	194.997	145.215	0.0507834
	BI.P.01.03	10.8987	0	0	11.0089	31.076	0.0026
	C.F.KL	83.1219	0	0	92.2517	20	0.0999999
	C.F.KZ	86.3656	0	0	94.3036	0	0
	C.S.Q	0	0	0	0	0	0
	E2022.001u	0	0	0	0	0	0
	E2022.020z	142.644	622.648	0	157.342	765.888	0
	E2022.022z	246.114	4516.68	0	271.914	5578.15	0
	MEP.L.01.01	0.287211	845.109	1.00645	0.452856	3057.54	3.64126
	MEP.M.06.06	1.289	0	0	1.29766	0.191843	0.00186795
	MEP.M.06.08	0.652951	0	0	0.67392	0	0
	MEP.M.07.03	20.8653	0	0	20.9588	193.385	0.0620591
	MEP.M.08.01	2.56767	0	0	2.59747	0	0
	MEP.P.01.02	0.258326	0	0	0.261921	0	0
	MEP.P.02.06	1.55993	0	0	1.60847	0.288962	0.000212886
	MEP.P.03.02	1.0625	0	0	1.08099	0	0
	MEP.P.06.01	1.298	0	0	1.31065	72.3184	0.0271437
6	bld-06
	B1035.001	0	0	0	0	0	0
