0	bld-00
	TotalLoss	183792	520419	606042	781732	286257	679522	923722	1.21615e+06	538949	301042	330715	266785	535707	255246	344648	483697	291159	428785	243012	320612	996907	354576	658680	471895	586046	389763	370314	398062	604356	1.12761e+06	755057	699043	167563	111919	770165	351459	702920	885977	2.10099e+06	646383	978899	1.19145e+06	322230	172450	1.1797e+06	689536	1.03708e+06	806962	499921	526489	860067	286626	380302	855714	693890	668593	878819	638312	458569	488984	550030	810028	310888	202818	341614	763442	368273	833584	886461	331102	615745	312828	568651	424594	686407	908598	720936	2.1396e+06	838783	917919	1.10925e+06	186687	406598	514254	296845	470012	93054.9	572421	306666	403510	487713	97278.9	289745	293967	380393	1.06445e+06	977756	718264	747424	339766	362153	775777	710182	1.08351e+06	710070	357762	487916	126196	184578	706349	655923	103791	152845	352075	662648	1.97007e+06	532862	656269	324851	451853	399649	897976	836159	454052	698963	306525	1.0692e+06	582928	598793	467803	685731	652139	220626	728870	880231	464370	602163	259459	676245	1.45783e+06	1.67908e+06	524979	624765	1.28736e+06	1.00825e+06	541075	684724	473076	64832.1	192511	577584	328952	320714	617547	606750	269322	346114	545842	392522	789209	650324	835789	113979	395445	249207	749900	877845	402990	601976	1.04679e+06	725698	518255	162641	1.05856e+06	725570	91981.8	1.07788e+06	159371	630294	451076	529726	1.07068e+06	859739	276060	165484	398827	497292	553135	384113	748251	622158	369426	551391	916593	1.28615e+06	741689	387187	244715	610047	169435	206378	988653	465615	415894	752491	226139	548803	526905	261687	841119	560482	783957	430473	920945	446045	197945	613879	713533	678575	484924	493392	888393	317151	758216	286450	317096	786340	270976	340595	68900.2	699053	555592	623827	587865	872614	495327	524016	1.54643e+06	529992	763253	622513	529590	633497	80819.3	274041	132892	790590	673797	294837	227803	1.59406e+06	173644	648251	386113	678946	1.01879e+06	192684	404584	656228	897377	702952	598174	541761	407807	259851	597457	178870	487301	809458	494780	1.05494e+06	62244.2	764318	559364	1.06153e+06	578133	1.17129e+06	347102	541956	508322	427507	636307	177850	1.83839e+06	495686	500561	412572	710794	792359	1.08377e+06	519437	319300	443562	472337	705459	205193	706739	429182	57340.4	308954	989150	974238	375330	119956	829973	554333	635086	766730	951798	756365	447144	286487	983348	566069	612074	538488	822004	1.38949e+06	531227	576561	399232	130624	601100	448234	312860	257237	707683	350212	358936	314568	507701	363332	406944	777342	644509	275102	517659	343050	323297	685952	564583	302800	702826	573488	77765.1	139284	218385	419804	548084	471673	286838	839021	643961	577917	487247	173928	685763	1.66137e+06	352157	889749	828357	2.24536e+06	1.19914e+06	234955	654028	570028	283907	931846	991203	748205	314270	844093	371666	604894	1.12746e+06	431970	1.13951e+06	401795	479041	323708	196746	308727	147888	382761	692029	366476	442601	227420	538455	772614	773687	1.10337e+06	281689	580372	239446	1.54154e+06	616646	594213	186640	422882	666796	563705	771952	280592	697738	328792	76079.5	699010	682008	749176	1.00463e+06	528484	338710	1.04755e+06	524702	279164	397455	1.12674e+06	533647	438576	209231	175852	1.20482e+06	468523	586893	569346	410787	345670	327751	744809	888878	814142	655801	365062	499728	889866	729846	250083	209427	339026	394527	437803	238774	908842	695147	1.3576e+06	207772	254688	317508	640735	440747	573343	1.20074e+06	841625	949763	254726	667470	356386	316962	1.40787e+06	472518	1.06936e+06	791758	594722	256241	87097	298818	480150	306668	1.09899e+06	223310	1.2063e+06	589192	703042	847890	747790	339443	496628	589022	285167	704161	545687	1.27326e+06	738750	276272	555339	704335	583965	441507	456104	769721	428070	283639	402093	857862	204551	522951	1.57373e+06	685383	996200	332812	766474	517136	908760	179962	294098	1.32766e+06	403797	226572	878353	332887	315837	525018	507872	318631	672281	561137	1.0486e+06	322301	218543	427049	603218	390678	347926	243005	331398	393873	1.01199e+06	507894	340279	194782	1.54958e+06	995932	1.29129e+06	292965	336435	608597	327188	900679	1.28614e+06	367518	705234	216843	671361	546102	936185	1.2725e+06	1.37311e+06	558528	665463	341912	471915	406221	1.01136e+06	572881	137090	836229	507778	382156	706923	740791	1.41147e+06	451509	688759	377785	675528	372569	856376	548380	309548	478012	1.43792e+06	472622	803044	1.17461e+06	567311	480966	666567	562196	376541	311871	321796	564155	253173	535371	1.11761e+06	162984	237938	1.07682e+06	799696	563429	614013	417160	244414	692106	423374	657736	357344	604106	116601	424269	270505	235283	1.16882e+06	581995	1.43023e+06	433754	473408	271742	85617.3	248631	631180	356274	1.09236e+06	221768	470852	211336	256577	425831	778582	552823	530146	672656	497154	544224	748538	36058.9	380875	670680	1.08685e+06	1.8022e+06	263426	338972	380847	449740	611194	798660	693147	228125	516656	247844	510930	280264	535794	443180	562496	511572	576160	580210	606944	957516	916113	826977	763916	689715	282436	479375	939577	345460	434127	331445	50659.2	125788	874319	416890	649800	451296	365013	670904	734824	595517	736046	112393	154063	1.30658e+06	500479	241142	598855	474136	767738	723340	961406	482558	517800	411719	758190	148915	579794	562332	372596	501595	766001	810312	326226	303441	549755	261117	624618	533430	471517	819040	511616	410299	1.00663e+06	550429	78985.3	347965	327256	688777	443524	443062	1.54825e+06	226146	475459	219694	669358	896740	109195	695173	527731	922934	736114	537169	707442	378575	302608	1.87177e+06	997285	279715	1.06644e+06	1.17089e+06	298951	1.02524e+06	686747	605239	180274	559005	93567	817081	909015	419675	612991	495694	424936	718851	601325	755132	768931	527272	567916	485732	415508	787669	1.19539e+06	846781	372615	183106	149132	1.5755e+06	653322	547806	681763	373924	304225	491409	237064	557234	1.15882e+06	573475	291511	571500	524127	562684	1.08036e+06	947850	257433	400411	643971	1.21471e+06	457024	816676	820693	1.58573e+06	779073	319321	484977	309789	750937	337976	537318	461456	910710	205686	764599	413927	671451	482869	949878	864506	312084	421206	461175	617007	484770	1.10287e+06	502573	930330	463248	282036	1.14136e+06	937287	576682	204922	365894	471043	413672	672066	336485	460325	1.03206e+06	339093	678673	1.02336e+06	392386	799280	1.05732e+06	1.05114e+06	1.02099e+06	546189	535517	825918	480103	374545	787825	609402	820615	603905	1.43206e+06	939378	354583	1.04626e+06	307094	680301	605329	528446	511917	321303	658203	316842	242200	1.09208e+06	784728	506534	602474	1.09819e+06	665498	653063	182332	241378	279921	449789	1.14046e+06	545222	383874	481138	438442	302319	248763	1.23638e+06	1.46027e+06	627522	512432	374619	312772	427971	1.14722e+06	765103	690633	1.17259e+06	861275	816298	457536	672223	363387	86959.4	222560	551102	514114	949654	554274	589629	385203	956753	751415	539926	412688	589865	954127	518830	523801	674880	99818.4	248362	568649	132477	562567	780586	322329	672073	384962	216011	801279	542272	1.02586e+06	343100	606215	433903	392795	233976	400391	251669	552033	987982	574654	602940	1.01285e+06	872753	535158	598183	1.00781e+06	1.06969e+06	538727	745236	1.06983e+06	855379	399318	1.15764e+06	788418	459327	379702	786278	664639	1.43504e+06	439415	814681	854831	879626	1.03702e+06	455197	96768.4	613987	481832	481727	1.14063e+06	985829	572662	334576	439115	1.21538e+06	985813	273748	200004	155045	62569.7	451268	752087	627243	746437	702539	927173	596624	561885	886347	748651	605341	634549	190752	418513	648387	788161	711310	409087	747531	320292	775411	730980	150300	237749	255003	1.38489e+06	647011	243969	113813	792065	461417	711745	463774	580145	340703	590191	
	lossType	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
	lossStr	9769.64	41581.9	90667.9	120118	19023.7	75227.8	275754	274791	62944.6	23228	18085.3	7739	118215	16261	22349.4	67048	28351	38186.1	23312	16372.6	170764	12842.4	113054	70641.4	85303.4	37974.7	35056.8	56076.1	49980.6	200521	136813	73923.2	11111.3	1086	189844	33950.6	99077	198827	748569	94068.1	172683	278138	32979	11186.1	222760	93361.1	228661	91301.2	143597	35452.4	126191	22165	33124	77516.2	151508	77681.7	159962	120037	42902.4	41138	56506	63802.7	22046.1	12031.5	22090	161321	14386	173996	183937	26611	88367.4	24030	58991.2	24209	128790	188059	77499.5	858660	133296	191921	292140	16966.4	14057.2	42112.7	10632.2	51975.3	2814.6	62626	58875	11425.1	43652.1	2094	12945.6	23633.3	34983.3	195342	131076	168414	79152.5	21412.6	30219	90906.8	115161	236303	127994	43420	49997.8	5162.32	5516.7	86228.9	99866.6	1422	14725.1	33691	65897.3	755414	68467.1	106629	32277	68163.1	28740.9	182053	132011	69487.5	70276	17101.7	213667	61944	100593	34161	138866	97129.1	6610.43	139908	177142	62900.3	95487.6	17256.3	188147	448061	716156	127911	78675	221020	156549	81838.9	70703.9	100266	388.001	12222.6	55632	27109.7	24734	62586	52639	24640.3	23541.3	67030.5	32947.5	131536	118888	108613	3482.33	31177	17160.1	55142.2	187609	28311.4	80246.7	249999	208785	70563.4	7732.57	258106	88918.1	2294.02	181417	8953.1	52651.2	33359.1	51457.2	211769	177274	17588.8	10386.3	62330	33520.8	59127.8	42729	189755	59033	31709	39587	129710	300683	82499.2	21611.4	28466	50970.8	9342.82	6784.3	323931	86136.8	39402.6	76178.8	22564.4	49180.1	34534.2	9285.8	171622	66427.2	259398	45109.5	190245	66502	5633.15	44796.7	137698	124387	34559.2	101577	203296	31429.4	142132	24789.5	33706.8	90902.9	12502.2	46523.9	1552	69487.6	102931	84466	32600.7	81148	32208.2	52926	274610	68682.1	137242	65069.9	43739	129952	2547	37384.9	5234.72	105359	108212	20857.6	11402	379141	4925.12	87667.2	24149.9	126348	170941	15258.9	22655.3	108508	137980	101652	98022	36487.3	27238.6	21903.4	55134	12002.9	72066.7	209816	23396.9	175768	878	147195	63483	204524	65021.2	192668	17610.8	71280.4	48836	51132.7	104053	5397.93	754491	84386	81305.6	81327	205618	123757	343785	110577	16445.2	21627.1	36063.8	179112	13372.3	111180	44079.4	11346	11955.6	163611	91793.8	31576.6	5498.58	154491	45338.5	72345.6	169460	312824	70722.4	26181.5	29852.7	176467	71639.1	115950	43872.7	145977	398689	65853.4	62113.4	39475.3	4712.1	45789.8	45546.2	35605	18457.3	61977	19369.3	26470.3	19178.2	58941.7	60835	62740.9	128681	95131.9	22103	27740	15296.5	32357.4	170376	136155	19037.8	68229.9	54008	6565.1	5082.13	14117.5	31975.5	72985	31363.4	27138.8	122129	125605	97158	27681.9	11716.4	105430	326994	31967.4	129384	195858	895510	200019	39100	70439.8	67913.8	14448.6	88913.8	208720	164957	38994.9	107422	17740.5	80181.4	291440	44222.6	253826	60742.9	66372	26983	5106.08	9362.62	10013.2	30046	92470.9	31688.7	27418.4	15079.8	72149.2	86060.5	156779	232057	11508.4	79148.5	18067.5	578008	112351	109431	4235.93	16454	138054	62374.7	131051	19674	115580	21730	2043	118040	63475.8	146227	152922	75408.2	49771.2	115985	43710	33003.6	11343.8	195777	55890.1	43297.8	5811.92	4404.8	241223	48073.6	45988	68962	51493	22125	28845.1	58045.7	107335	125488	81717.9	34050.6	77085.3	180705	167531	21479.8	13357.2	45067	58260.9	26816.5	11866.7	175019	82735.9	327463	9449.78	16730.9	42599.3	95897.1	70628.4	76983.8	211946	157624	159803	31575	111709	34609	21760	423553	39626	223455	153184	111986	10067.6	918	9973.35	23589.2	14744.8	302932	8888.15	347377	30516.4	135771	135431	136710	17463.2	80285.1	122073	27177.8	105976	45316.7	370397	128676	27081.1	55671	76973.9	49706.8	38248	44107.1	162588	46882.8	32239	26219.4	198016	13996.2	101711	763009	119863	145847	15716.8	102368	58868.8	172477	16774.5	35893	410943	32502	6873.52	137499	34699.5	29270	78047.5	76447.4	15226.9	82298.4	27958.5	185660	25559	10472.2	18395.2	62753.3	30379	15404.1	14349.6	12647.7	38851.4	200166	113680	44594.6	7508.62	549339	172143	174351	16300.7	61777.7	68950.9	18247.1	187553	414758	29274	161698	21081.6	98359.9	74568.8	136050	201516	391229	122445	137037	41343	66777.6	25720.5	177676	59132.2	15396	132800	28453.6	17374.1	45736.5	130079	235044	28582.4	108575	28288	177951	19304.2	234606	36138	24136.8	41158.4	397307	31879.9	131930	368729	74659.1	45152.2	108561	72872.3	29402.9	35955	29718	42185	9569.97	23143.6	167100	7059.75	5852	181862	87851	103307	58390	46119	15600.2	77475.9	64445.8	115511	21828.4	114146	5388.6	62709	28430.7	15212	239743	59237.8	540924	38950.8	78753	16275.2	1654	13543.1	74249.3	38312	228104	10487.3	49637	20317.3	14917.8	16991.6	121817	79223.7	68159.5	53733.5	62883.1	60496.5	102435	556	39458.6	96495.5	146516	256226	31543.1	12493.9	15896	62482.3	71697.7	87301.5	102764	7544.05	69091	20322.6	93265.2	12097.8	109579	42788.3	98172.7	42446	43089.9	112934	56315.4	165278	258390	178360	142574	138853	27937.9	39790	197580	18417.1	37208.2	30961	6435	4999.5	224250	49286.9	42103.9	21866.4	49915.3	102003	101319	85291.1	99098	7413.65	12416.7	312844	82242	12218.6	81555.6	67889	169537	144755	256280	55491	60761.7	82611.5	106170	3426	65548.8	49862.5	43375.1	28321.1	135968	141034	25897.2	20414.2	47218	8020.52	67119.7	49233.4	95064.9	146833	38414.7	45577	222742	48959.1	1526	27046.3	17499.4	85674.2	41566	46063.3	516232	9872.72	62987	10253.4	66705	161582	5750.12	75047.4	45497	174725	157489	41439.2	146333	65465	17635.2	793985	232350	20477	234029	238509	11079.2	244960	84796.3	88413.6	7160.9	98386	1487	156949	87794	53777.2	76146.9	73904.1	44853	106104	124327	109581	169421	37418.9	43456.7	47369	24744.8	124954	227637	147625	40156	8596.24	2560	331948	72180.6	56833.8	200780	25978.8	25657	35564.6	8971.91	18653.2	157852	81698.3	24978.7	50284.7	45188.1	55164.6	520271	170238	17961	68396	76522.8	276651	40539.7	78051.3	154361	477810	128186	59290	41382	45873	73005.8	57797	59403.6	82569.5	144069	17011.2	84703.3	53371.4	107439	73748.6	143463	150487	28631.5	32584.8	30651	79849.3	70287.7	284937	72181	222719	99442	20983.3	226811	175631	99617.2	12692.9	23303.5	45203.1	37611.2	180970	22511	47391	176884	44844	105472	270188	12971.1	108177	285608	362679	230218	41509.4	65174	79849.4	39711.9	28309.8	196265	54347.1	199609	153245	408002	196333	50899	391143	46294	102848	39758	32466	69424	38382.5	113557	37740.9	13408	294714	121034	48447.7	50884.7	178632	78629.1	82748	9867.58	18419.4	28289	39660.4	224877	88246	27687.9	57597.4	47011	19330.9	15962.8	227630	358781	76137.4	92657.8	36362	21310.6	69763	129942	149830	90054.3	150400	134653	165383	54737.7	89232.9	49792	4900	18702.6	140278	122181	202657	80518.7	50160.2	51012.7	112075	121771	98563	44745.3	60209.1	163107	45464.9	55183	136746	6593.4	20177	57594.6	4109	59904.1	88378.7	31062.3	133847	49233	3470.03	128973	63843.4	257970	32062.9	80941.2	30806	53707.2	22701.1	38437	32981	67181	184850	70246.6	72048.7	179870	154456	67765.4	56059.1	202982	201488	55549	98029.6	291011	113901	32275.4	220318	109751	76577.6	59703.6	200534	72947.3	458546	35358	140953	90270.7	262833	117452	56240.7	5089.8	97397	41382.8	34935	260887	137004	36485.3	31695.4	44428.1	505483	90050.6	12317.1	8783.8	8542.75	362	36608.7	100959	88065.3	134747	119186	136153	62349.5	56360.8	231419	107423	51462.2	53405.5	6732.4	37369.4	96177	120674	102539	68181.4	84618.3	37200	101686	95877.6	3850.9	13569.4	45798.1	477007	56148.4	24218.2	3142	158688	75971	63101	75629.1	64430.1	20825	80649.9	
	lossNSD	174022	478492	514831	661220	267031	601729	647923	939745	475871	277468	311657	257739	417492	238985	322095	415409	262498	389385	219508	303702	823814	341196	544414	401046	500743	350634	334373	341295	554130	926554	616324	624389	156451	110394	579774	317163	602920	686804	1.35043e+06	552268	804833	911733	287839	161056	954831	595779	805713	712482	355540	490135	732081	264268	346984	777418	541840	590719	716119	518073	414629	446308	493137	745049	288304	190035	318909	600697	353541	658677	701450	304388	525649	288590	508855	400040	556047	720002	642899	1.27707e+06	704412	724269	815377	169509	391405	471744	285522	417296	90240.3	509601	247791	392084	443067	94943.1	276257	270334	345204	867956	846263	549159	667926	317510	331546	683618	594148	843544	581732	314342	437726	121034	178805	619252	555518	101965	138120	318183	596751	1.21237e+06	463703	548757	292574	382302	370367	712360	703802	384365	628303	289032	854888	519683	498200	433466	546661	554809	213285	587725	702892	401278	506605	241275	487504	1.0096e+06	961539	397068	545744	1.06564e+06	851357	459079	612560	372617	63726.7	180289	521414	301151	295771	553847	553000	244682	322457	477108	359172	654417	530891	726711	110481	363028	231339	694028	689890	374290	520252	794964	516568	447691	154331	799514	636652	89687.8	892380	150418	576343	416244	477538	857225	681044	257382	154726	336497	463402	493719	341384	556374	562143	337717	511387	783453	984154	658844	365356	215904	557832	160092	199055	663685	379337	376146	675735	203344	497903	490943	251965	668173	493478	523910	385017	729008	378457	191709	567505	575105	554038	450365	391421	683833	285721	614816	261256	283193	694860	258474	293675	67348.2	629181	452434	538274	554918	791274	462927	470892	1.2709e+06	460733	625175	556367	485160	502727	78272.3	236656	127465	684000	565393	273959	216196	1.21096e+06	168335	560584	361572	552435	846938	177201	381171	546972	758706	600070	499563	505131	379544	237947	541978	166671	414889	599059	471037	877755	61366.2	617061	495031	853263	512420	977929	329106	470471	458795	375656	531557	172067	1.08239e+06	410441	418749	330707	504130	667105	739789	408648	302164	421228	435783	525808	191332	594558	384453	45994.4	296652	824429	880327	343753	114458	674934	508610	561703	597069	637684	685446	420962	256558	805920	494114	495609	493911	676028	987585	464989	513730	359563	125512	554046	402305	277058	238434	643996	329878	331735	295198	448510	301989	344203	647546	549185	252807	489919	327551	290149	515380	427531	283762	633830	518330	71200	134202	204060	387636	474199	439926	259699	716438	517769	479702	459321	161818	578405	1.33062e+06	318893	759842	630516	1.34851e+06	998618	195855	582337	501732	268365	840800	782207	583054	275275	735494	353725	523536	834790	386810	885481	341053	412473	296523	191456	298755	137643	352164	597560	334787	414990	212142	465887	685304	615703	870272	269795	499300	221379	962244	504296	484782	182404	405779	527932	500399	639803	260772	581239	306870	74036.5	580778	617590	602949	851437	452938	288734	929840	479215	245270	385765	928748	477180	395278	203419	171246	962939	420103	538557	500192	358869	321443	298576	685415	780541	687693	572604	330816	421752	708469	561936	228202	196070	293416	336073	410295	226907	733631	611817	1.02991e+06	197394	237958	274700	544838	369773	496263	987525	682614	789961	223151	553234	321777	294660	982039	431641	843283	638382	482736	245828	85962.3	288645	456561	290666	795020	214351	858150	558099	566203	711076	610734	321941	416159	466949	257782	596610	500178	902513	609867	248248	498119	626976	533903	403246	411804	606441	380992	250509	375192	659501	189594	420747	810027	564634	849135	316818	663711	457910	736284	163187	258205	915879	370911	219146	740052	297292	285817	446625	428911	303200	589492	532696	860546	295751	207672	408449	539334	359586	332522	228522	318558	354890	809862	393111	295547	187273	997613	821820	1.1158e+06	275799	274108	539092	308599	712699	869410	337552	541462	195705	571903	469841	799392	1.06761e+06	981058	435282	526207	300159	404933	380475	832802	513749	121694	702680	478786	364782	659701	610511	1.17426e+06	422037	579262	348869	497403	352717	621643	512041	285210	435958	1.0385e+06	440742	670516	805300	492306	434981	557073	488376	346594	275852	291179	521544	243411	511707	946557	155722	232086	893180	710961	459431	555431	370847	228030	613938	358727	541879	335516	489758	111002	361014	242075	219524	928571	522554	888598	394605	394655	255260	83963.3	235088	556201	317417	861825	210740	421173	190064	241660	408368	655754	473096	461432	617979	433887	483381	645961	35308.2	341016	573196	939383	1.54177e+06	231883	326093	364759	386512	539150	710379	589307	220581	446309	227522	417665	268166	425464	400392	462699	468435	530645	466877	549922	790220	656632	648070	620305	550535	254084	438663	739802	326498	396711	300182	44224.2	120789	649489	366912	607004	429030	315093	567326	632275	510226	635866	104979	141300	992232	417816	228578	517300	405901	597405	578559	704843	426868	456586	328416	650983	144374	513704	511989	328672	473252	628512	668685	299983	282681	502135	253097	556459	483851	375916	670861	471790	364722	782617	500765	77254.2	320573	309600	601808	400992	396444	1.0309e+06	216179	412126	209441	602454	732594	103103	619417	481254	748016	578433	495537	559778	312764	284973	1.07596e+06	762220	258892	830257	930156	287872	778853	601605	515615	172344	459286	92080	659021	817573	365898	536844	421424	379737	611389	476412	644809	598821	489508	523951	437825	390470	662478	966502	698465	332286	174125	146380	1.23854e+06	581075	490239	480429	347753	278376	454807	228028	538388	999343	490877	265982	520829	478747	506828	557744	777070	239417	330844	567103	937716	415944	738029	666332	1.10619e+06	649203	259822	442806	263531	677039	279420	475917	378730	765604	188675	678628	360494	562590	409121	806031	712614	283251	388275	430524	536619	414413	817844	429545	707266	363540	260860	912282	759732	476363	192230	342196	425301	375656	490573	312929	412081	853766	294038	572642	751901	379415	690219	769788	687969	790082	504148	469879	745024	440007	346027	591214	554171	619652	450660	1.02352e+06	742648	303508	653590	260070	576558	565379	495764	442493	282719	544474	278909	228362	796261	662998	457202	551590	918828	585971	570315	172263	222567	251425	409727	913428	456358	355781	422959	390365	282988	232598	1.00806e+06	1.09941e+06	551385	419229	337912	291461	357862	1.0162e+06	614927	599460	1.02157e+06	726080	650531	402727	581481	313595	82059.4	203858	410624	391905	746458	473360	538928	333120	844497	628464	440945	367704	529456	789859	473365	467581	536712	93017.1	227971	510708	127676	501971	691736	291057	536727	335330	212347	671750	477698	766163	310491	524505	402905	338541	211076	361608	218688	484669	800678	502831	530687	830782	717273	467037	541932	804725	867514	482982	644363	778248	741133	366489	935204	677541	382496	319443	584834	590894	974129	403519	672993	764175	615371	917991	398956	91328.1	516244	440057	446446	878693	847768	535426	302878	394395	709892	892887	260245	191014	146503	62189.1	414062	648965	538516	611015	583354	788676	533102	504789	653556	640625	553341	580601	183798	380798	550343	667103	608425	340560	662416	282538	673379	633821	146243	223834	208994	906777	590224	219405	110671	632647	385101	646723	387799	513219	319670	508342	
