idr,column_rotation
0.00246695485869633,0.001337388632239
0.003735861687939663,0.002827922930013
0.00501838414280633,0.004366169800048
0.006311107373839664,0.005861267942237
0.007609488389472997,0.007335417380087
0.00890947748880633,0.008798912138449001
0.010207229551272996,0.010263654112388
0.011510656472639663,0.011725578980973
0.01281819859800633,0.013181226153385
0.014127485401039662,0.01464098456196
0.015436101651772996,0.016101887886188
0.01674174760440633,0.017561654472982
0.01805117348490633,0.019016504811614
0.019362596121039664,0.020474386838062998
0.02067602668860633,0.021934840333454
0.02198897296843966,0.023396328469988
0.023300963090439664,0.024857200100085998
0.02461255336463966,0.026316297386071
0.02592307572223966,0.027775227470559
0.02723196391920633,0.029234317335083
0.02853638673483966,0.030691809661197
0.029839791304472996,0.032151315448542
0.03114171817560633,0.033645840128841
0.03244903181650633,0.03511057868309
0.033758876171272996,0.036563924193648
0.03506897384593966,0.038021987158596005
0.036379722204273,0.03948045377909
0.03768947963560633,0.040941716477348
0.038998385217272995,0.042401729369925
0.04030720635893966,0.043859436438664
0.041615915742272996,0.045317905838607
0.04292479897193966,0.046775589958969
0.044233622597273,0.048232298591743
0.04554241642027299,0.049688674553184
0.04685115560560633,0.051144651966785
0.04815986002160633,0.052600281575016
0.049468549536273,0.054055551110677
0.05077725891927299,0.055510334714216
0.052085938499939664,0.056965193361954
0.05339464788293966,0.058419839784642005
0.05470334733193966,0.059874336133385005
0.056012061681939666,0.061328578929569
0.05732076609793966,0.062782609194999
