idr,beam_rotation
0.00100324328680722,0.000662117818138
0.0015238938946505534,0.001194556243718
0.002060329178373887,0.001790956011975
0.0025808087333038868,0.002388869033889
0.0030948646459972202,0.0029828207916569997
0.003619511559003887,0.003614440851378
0.004173852761003887,0.004271266050637
0.004734226139270554,0.00489536963869
0.005306842684137219,0.00549985887483
0.005883743623303887,0.00605608883779
0.006466422487703886,0.00660300685558
0.007060189057770553,0.007184247486290001
0.007662143815970554,0.00773309415672
0.00828864699543722,0.00829877227079
0.008915756776337219,0.00888557930012
0.009530024860703886,0.00946920865681
0.010128869001470553,0.01009810052346
0.010591224093637221,0.010899748886
0.011151418347570554,0.01247875671833
0.011715628464403887,0.01415771734897
0.012297049422470554,0.0149982087314
0.012878246863070554,0.01582732074892
0.013463699827003886,0.01658075023441
0.01405735588013722,0.017319533042630002
0.01465130871473722,0.01810240908527
0.015239915757770554,0.01892276806754
0.015820304810403887,0.01978032710035
0.016406856734937223,0.02061843452973
0.016992764184270554,0.02143175899984
0.01757512143193722,0.022280652076
0.018156774599737222,0.02310162968933
0.018735879669003887,0.0238028466701
0.019312713552903888,0.02447817893701
0.019889903822937222,0.02514482708644
0.020468175668903885,0.02580787381159
0.021046540647137218,0.02647115383295
0.021622820704570552,0.027136519551250002
0.022199128080803886,0.027808582410199997
0.022774099319570553,0.02848281245675
0.02334854405063722,0.02915216423569
0.023923728872737218,0.02982292417435
0.02449946007073722,0.03050006600093
0.025078178951537217,0.031181755475739998
0.025657419373003882,0.03186437208208
0.026236518233403883,0.032550785224869996
0.026814613748970553,0.033240601420379996
0.027391591677470555,0.033932187594479996
0.02796954314847055,0.03461574763063
0.02854873638293722,0.03529691835864
0.029127567022437215,0.03597352420913
0.029706434914870555,0.03665509168058
0.030286363273270552,0.03733850829305
0.030867868671203887,0.03802418569102
0.031474380701170555,0.03871392458674
0.03221329699893722,0.03937140991915
0.03290750484607055,0.039872041437780004
0.033597376455237214,0.04044371936472
0.03415816923923722,0.04103461978956
0.034701644390237214,0.041783355176490004
0.03524188350590388,0.04255797713995
0.03579459240957055,0.04333774559202
0.03638477773423722,0.044110086280859995
0.036965063720237216,0.044845440890619995
0.03754046709290389,0.04557876288889
0.038120263824237215,0.046323678456240004
0.038720621674570556,0.04707221221182
0.039332003900903884,0.04780977126209
0.03989699384523722,0.04854259826239
0.040483664978903884,0.04931880254297
0.04161542803990389,0.051846831105600004
0.04230079453123722,0.051846831105600004
0.04251323541923722,0.051846831105600004
0.04242272079923722,0.05477367714090001
0.04307632546557055,0.05477367714090001
0.043608892966570556,0.05477367714090001
0.04414868753090389,0.05477367714090001
0.04470676581990388,0.05477367714090001
0.045271604269237216,0.05477367714090001
0.04582798879290389,0.05477367714090001
0.04638714989957055,0.05477367714090001
0.04695524673590388,0.05477367714090001
0.04752395948723722,0.05477367714090001
0.048091246693570545,0.05477367714090001
0.04855008821623722,0.05477367714090001
0.049101336806570556,0.05477367714090001
0.049658719707903885,0.05477367714090001
0.05021853149857055,0.05477367714090001
0.050779058545237225,0.05477367714090001
0.051339322337903885,0.05477367714090001
0.05189935764623722,0.05477367714090001
0.05246169766723722,0.0551541410387
0.05302464366890389,0.0557464547455
0.05358821055223722,0.0563394315541
0.05415119132323722,0.0569330453873
0.05471335253057055,0.0575260706246
0.05527560314490388,0.0581183433533
0.05583760043923722,0.0587107129395
0.05639385085257056,0.0593027658761
0.056953285147237215,0.059890717268
0.057513832061903886,0.0604810230434
0.05807432433890389,0.0610721670091
0.05863528351923722,0.0616632588208
0.05919598937957055,0.0622547082603
0.059757291286570556,0.0628459826112
