1
11 18
2.8150E-03	2.2840E-03	1.8860E-03	1.0690E-03	3.7362E-03	3.5609E-03	2.6931E-03	2.3358E-03	1.8242E-03	1.8294E-03	4.9642E-04	5.7625E-04	3.0000E+00	2.6920E+00	3.0430E+00	2.9140E+00	3.7700E+00	1.0660E-04
4.5490E-03	3.8950E-03	2.6340E-03	1.3150E-03	5.8655E-03	5.6345E-03	4.4121E-03	4.0947E-03	2.5110E-03	2.6547E-03	5.7988E-04	8.0729E-04	3.0000E+00	2.6750E+00	2.8360E+00	3.6180E+00	4.2230E+00	3.2490E-05
4.7400E-03	4.1230E-03	2.7930E-03	1.2970E-03	6.1029E-03	5.8630E-03	4.6446E-03	4.3475E-03	2.6500E-03	2.8291E-03	5.7471E-04	7.8730E-04	3.0000E+00	3.3900E+00	3.2020E+00	3.7280E+00	3.8710E+00	3.3940E-05
6.4300E-03	4.6000E-03	2.7220E-03	1.2370E-03	8.1933E-03	7.8929E-03	5.1100E-03	4.8785E-03	2.5882E-03	2.7512E-03	5.5747E-04	7.2069E-04	3.0000E+00	3.0090E+00	3.4640E+00	3.6510E+00	3.8830E+00	8.9030E-05
3.4270E-03	2.7580E-03	2.3130E-03	1.3390E-03	4.4936E-03	4.2962E-03	3.2185E-03	2.8495E-03	2.2250E-03	2.3016E-03	5.8677E-04	8.3394E-04	3.0000E+00	2.7590E+00	2.9750E+00	3.1850E+00	3.9980E+00	1.5170E-04
5.3930E-03	4.5760E-03	3.8230E-03	2.1550E-03	6.9123E-03	6.6480E-03	5.0869E-03	4.8517E-03	3.4556E-03	3.9930E-03	7.1511E-04	1.7598E-03	3.0000E+00	3.6590E+00	3.7990E+00	3.9980E+00	4.9250E+00	8.8940E-05
5.7890E-03	4.0140E-03	2.6620E-03	1.2780E-03	7.3932E-03	7.1231E-03	4.5350E-03	4.2270E-03	2.5356E-03	2.6852E-03	5.6925E-04	7.6621E-04	3.0000E+00	3.2690E+00	3.6930E+00	3.6070E+00	3.9230E+00	2.6790E-05
9.4670E-03	7.0200E-03	4.3660E-03	1.9500E-03	1.1815E-02	1.1292E-02	7.1209E-03	7.5704E-03	3.8704E-03	4.6152E-03	7.0677E-04	1.5234E-03	3.0000E+00	3.9260E+00	4.4630E+00	4.6070E+00	4.7310E+00	6.3680E-05
5.5900E-03	4.1750E-03	2.5880E-03	1.1230E-03	7.1523E-03	6.8847E-03	4.6960E-03	4.4048E-03	2.4706E-03	2.6043E-03	5.1940E-04	6.1340E-04	3.0000E+00	3.2800E+00	3.5170E+00	3.5650E+00	3.6560E+00	4.7210E-05
3.3910E-03	3.1740E-03	2.4670E-03	1.3250E-03	4.4489E-03	4.2528E-03	3.6678E-03	3.3023E-03	2.3640E-03	2.4713E-03	5.8275E-04	8.1839E-04	3.0000E+00	3.2580E+00	2.7780E+00	3.2740E+00	4.1480E+00	4.3640E-05
3.5390E-03	2.9670E-03	2.3900E-03	1.3500E-03	4.6323E-03	4.4309E-03	3.4470E-03	3.0754E-03	2.2952E-03	2.3864E-03	5.8993E-04	8.4615E-04	3.0000E+00	2.9580E+00	3.0620E+00	3.3930E+00	3.9210E+00	4.3010E-05
