idr,column_rotation
0.0013889571738808298,0.000653969298582
0.0021185132141008298,0.0013948086416320001
0.0028534034043641633,0.0021821519185359997
0.00361679858467083,0.00299585142056
0.00438957032067083,0.0038449507264869997
0.005170801570037496,0.004693651950218
0.0059698664049374975,0.0055473301617930005
0.00677796382707083,0.006421344762204
0.0075964336991374976,0.007322809600738
0.008407236302904164,0.008225315774326
0.00921231313547083,0.009105211764107
0.01001487601797083,0.009978367714215
0.010827001099804162,0.01084426627491
0.011611495082570832,0.011716364475386999
0.012359837606570832,0.012553743959860999
0.013047180985404165,0.013345583516643
0.013480572566404163,0.014050658210193
0.013968265220537497,0.014429969043667001
0.014655702973404164,0.014934130391323
0.015358009601637497,0.015657955664173998
0.01602984832227083,0.01638747754621
0.016668833707770832,0.017095719784226002
0.01733426617087083,0.017760626418770003
0.018031895076237498,0.018459184531807
0.0187194855660375,0.019188152888102997
0.01939511787397083,0.019910592876887
0.02005870880187083,0.020620380819331
0.020718620384737495,0.021317283390132002
0.0213853157212375,0.022009954613151
0.022070041462804165,0.022711035533591002
0.022759831115604163,0.023433556285409003
0.023449576064937496,0.024160581728163
0.0241396662245375,0.024887094506986
0.0248310801039375,0.025614217913286
0.025519960785904166,0.026343305711631997
0.026209544306004164,0.027070745010880998
0.0268990483532375,0.027802163793232998
0.027589046622337497,0.028536514902997
0.028284784322004163,0.0292704813182
0.0289845974892375,0.030019073456043002
0.029683198695404162,0.030756018473756003
0.030380004311604165,0.031494414899521
0.031076752806704164,0.032230103039160005
0.031775463288037493,0.032966458238616
0.03247723347447083,0.033705617941472
0.033180670107404164,0.034447258221921004
0.033884392346104165,0.035189613816284
0.034583187267104167,0.035932530474424004
0.035280581479437495,0.03667323972329899
0.03597691522543749,0.037409525015411
0.03667409088710417,0.038142983801707
0.0373150395004375,0.03887840401152
0.03799563016977083,0.039538033946899996
0.038684798941104166,0.040255956875654
0.039376190468770826,0.040984124701908
0.0400701946664375,0.041711835190679995
0.0407565197994375,0.04244181019018
0.04137004779277083,0.043161989480676996
0.04207089162377083,0.043797297344963994
0.04277523474410416,0.044541902258088
0.04347869869577083,0.045285266707666
0.044180915917104165,0.046027976437494
0.04488035655510417,0.046769004664432
0.045578103428104165,0.047506618546286
0.046274837022104165,0.048242003656947
0.046971605385437494,0.048976086720399006
0.047669317488770825,0.049710439110625
0.04836738722043749,0.050446029985283
0.04906521356610416,0.051182080002057005
0.04976224021610417,0.051917820004731996
0.05045815424610416,0.05265253171093
0.05115364110977083,0.053385711333223
